"order_id","order_time","delivery_time","rider_id","time_difference","time_difference_in_sec"
483,"12:50:58","00:11:00",1,"-12:39:58","680.0333333333333333"
323,"13:50:58","01:11:00",3,"-12:39:58","680.0333333333333333"
419,"14:50:58","02:11:00",5,"-12:39:58","680.0333333333333333"
256,"15:50:58","03:11:00",6,"-12:39:58","680.0333333333333333"
7,"16:50:58","04:11:00",7,"-12:39:58","680.0333333333333333"
635,"17:50:58","05:11:00",31,"-12:39:58","680.0333333333333333"
980,"18:50:58","06:11:00",11,"-12:39:58","680.0333333333333333"
153,"20:50:58","08:11:00",13,"-12:39:58","680.0333333333333333"
735,"21:50:58","09:11:00",4,"-12:39:58","680.0333333333333333"
457,"22:50:58","10:11:00",5,"-12:39:58","680.0333333333333333"
883,"23:50:58","11:11:00",6,"-12:39:58","680.0333333333333333"
801,"00:50:58","12:11:00",7,"11:20:02","680.0333333333333333"
881,"01:50:58","13:11:00",8,"11:20:02","680.0333333333333333"
384,"03:50:58","15:11:00",31,"11:20:02","680.0333333333333333"
818,"05:50:58","17:11:00",31,"11:20:02","680.0333333333333333"
54,"06:50:58","18:11:00",31,"11:20:02","680.0333333333333333"
583,"07:50:58","19:11:00",7,"11:20:02","680.0333333333333333"
691,"08:50:58","20:11:00",8,"11:20:02","680.0333333333333333"
533,"09:50:58","21:11:00",4,"11:20:02","680.0333333333333333"
147,"10:50:58","22:11:00",31,"11:20:02","680.0333333333333333"
415,"12:50:58","00:11:00",9,"-12:39:58","680.0333333333333333"
415,"12:50:58","14:11:00",9,"01:20:02","80.0333333333333333"
368,"13:50:58","01:11:00",4,"-12:39:58","680.0333333333333333"
136,"14:50:58","02:11:00",4,"-12:39:58","680.0333333333333333"
425,"15:50:58","03:11:00",4,"-12:39:58","680.0333333333333333"
906,"16:50:58","04:11:00",5,"-12:39:58","680.0333333333333333"
433,"18:50:58","06:11:00",15,"-12:39:58","680.0333333333333333"
554,"19:50:58","07:11:00",4,"-12:39:58","680.0333333333333333"
982,"20:50:58","08:11:00",4,"-12:39:58","680.0333333333333333"
921,"21:50:58","09:11:00",23,"-12:39:58","680.0333333333333333"
100,"22:50:58","10:11:00",4,"-12:39:58","680.0333333333333333"
202,"23:50:58","11:11:00",4,"-12:39:58","680.0333333333333333"
244,"00:50:58","12:11:00",19,"11:20:02","680.0333333333333333"
656,"01:50:58","13:11:00",8,"11:20:02","680.0333333333333333"
800,"02:50:58","14:11:00",4,"11:20:02","680.0333333333333333"
50,"03:50:58","20:11:00",32,"16:20:02","980.0333333333333333"
50,"03:50:58","15:11:00",3,"11:20:02","680.0333333333333333"
964,"05:50:58","17:11:00",31,"11:20:02","680.0333333333333333"
166,"06:50:58","18:11:00",4,"11:20:02","680.0333333333333333"
711,"07:50:58","19:11:00",10,"11:20:02","680.0333333333333333"
94,"09:50:58","21:11:00",4,"11:20:02","680.0333333333333333"
963,"10:50:58","22:11:00",28,"11:20:02","680.0333333333333333"
837,"11:50:58","23:11:00",4,"11:20:02","680.0333333333333333"
42,"12:50:58","00:11:00",11,"-12:39:58","680.0333333333333333"
